segmentNumber,size_sd,size_mean,size_p25,size_p50,size_p75,vol_min,vol_max,vol_p25,vol_p50,vol_p75,img_used,img_cnt,dataset,Id,series,series_idx,series_cnt,in_series_cnt,in_series_rank
9,186.258428799479,510.266666666667,342.25,567.5,600,2723.02680853494,24912.8576642665,6334.79940753178,13519.2300832613,14697.1223734512,30,30,train,1,sax_10,1,16,1,1
7,196.613045485727,543,354.25,625.5,643.75,2870.95942151748,28865.8556256349,6670.64797304235,15643.7874860204,16333.3751341678,30,30,train,1,sax_11,2,16,1,1
8,141.45279054873,348.266666666667,210.25,393,440.5,940.60406122874,13896.062463878,3050.01720174698,7790.92144742841,9245.59011505852,30,30,train,1,sax_13,4,16,2,1
17,103.580433257668,305.115384615385,239.5,328.5,390.75,1060.5960588273,10352.3849909091,3707.91417540535,5958.89240347784,7724.19955440631,26,30,train,1,sax_13,4,16,2,2
7,127.705772648757,271.833333333333,150,313.5,361.75,311.987179223762,10516.2731040992,1839.3892543136,5550.85708780886,6880.47862556089,30,30,train,1,sax_14,5,16,2,1
8,115.412076354345,456.5,471.5,498,519.5,3064.95203877646,14440.4936549967,10247.710909958,11113.3417791579,11840.7382371316,20,30,train,1,sax_14,5,16,2,2
10,512.037732697389,709.529411764706,145,628,1275,140.296115413079,50431.1622412175,1746.03121392488,15737.6348921939,45526.6062319607,17,30,train,1,sax_17,8,16,1,1
17,185.037564523802,560.148148148148,367.5,656,679,3834.85658141214,24825.2905521768,7049.19460581906,16801.7979990238,17694.8710730868,27,30,train,1,sax_57,12,16,2,1
24,137.637427825652,503.692307692308,553.5,567,579,2577.72612975079,14770.4843522479,13022.2608408862,13501.2689403626,13932.1872835493,26,30,train,1,sax_57,12,16,2,2
7,167.410423809272,604.625,577,632,675.5,89.4427190999916,20951.7541031771,13860.0156204818,15888.4723015131,17556.7738068426,16,30,train,10,sax_10,1,10,1,1
10,183.38060728015,535.033333333333,341,608.5,625.75,3218.73142713088,24041.8289029766,6301.86192299294,15010.3861033056,15653.2037530775,30,30,train,10,sax_11,2,10,1,1
7,147.416530054582,352.233333333333,197.25,385.5,443,1465.15835321647,17615.0144195229,2774.4529573083,7568.97110948908,9328.43097868869,30,30,train,10,sax_12,3,10,1,1
7,76.7332271072479,308.478260869565,240,326,367.5,2765.02676298079,8978.95138643706,3718.45131741821,5886.0832477973,7045.67314017164,23,30,train,10,sax_5,6,10,1,1
9,71.9668727209316,303.333333333333,246,278,363,3420.0998523435,9229.51786389733,3858.95698037757,4635.18629614819,6920.50788647217,27,30,train,10,sax_6,7,10,2,1
23,278.645533488935,481,543,562,613,46.8721665810319,25088.2999224738,12653.1816947359,13323.0750204298,15177.1669622496,13,30,train,10,sax_6,7,10,2,2
18,405.084132030605,394.533333333333,78,97.5,910.5,189.570567335755,29512.4359380923,688.877347573572,963.504512242638,27474.1086906709,30,30,train,200,sax_43,3,9,1,1
29,171.88326721894,402.62962962963,226,429,506.5,2455.31423650823,19885.8468263235,3408.53151420529,8885.58321102222,11399.0677072194,27,30,train,200,sax_45,5,9,1,1
9,189.622013322578,371.714285714286,170.5,424.5,486,1015.03743773321,19038.5686699395,2232.65038899608,8761.98646143887,10714.0681349336,28,30,train,200,sax_46,6,9,1,1
19,168.92056326912,314.814814814815,136.5,343,451.5,715.541752799933,14040.5615272324,1597.67101309103,6352.44889786608,9593.82130839803,27,30,train,200,sax_47,7,9,1,1
7,172.446523445026,496.7,334.5,581,605.75,3218.73142713088,20662.9566374224,6121.2195025076,14004.4522922235,14908.7837757863,30,30,train,30,sax_10,1,11,1,1
5,190.174100512523,473.866666666667,283,577,590.5,2315.03239718152,20662.9566374224,4762.45912148273,13860.031231939,14349.2830787896,30,30,train,30,sax_11,2,11,2,1
8,172.122196635741,294.133333333333,169,308,406.75,70.0927956355002,16115.0262798421,2197.34480920622,5405.57037224666,8203.63482665606,30,30,train,30,sax_11,2,11,2,2
3,185.321246401529,477.633333333333,274.5,579.5,603,2435.10595252034,19400.1816486341,4561.96860459653,13950.3820406397,14807.3490032395,30,30,train,30,sax_12,3,11,2,1
6,157.047896091182,306.291666666667,204.5,321,412.25,189.570567335755,14040.5615272324,2926.02659160187,5752.88324085081,8370.30293517408,24,30,train,30,sax_12,3,11,2,2
4,171.134335887163,418.266666666667,223.5,521,532.5,1621.13293717696,15812.874501494,3352.86004007893,11892.062552407,12287.9617003905,30,30,train,30,sax_13,4,11,2,1
7,119.251337679967,168.192307692308,52.5,164.5,215,52.3832034148352,8761.59945443753,403.190401671468,2110.72126581147,3153.21262521014,26,30,train,30,sax_13,4,11,2,2
7,136.584679641033,297.733333333333,140.5,379.5,396,623.71227340818,10319.7104610546,1679.82006675616,7392.95313330748,7880.35708300685,30,30,train,30,sax_14,5,11,1,1
22,84.0441933555294,362.433333333333,249,415.5,423.75,3694.85033526393,9072.64432235718,3929.15372567682,8469.48060870784,8722.97719164496,30,30,train,300,sax_10,1,11,1,1
19,56.8392470041608,372.3,364.75,377,408,3718.06401235912,9705.4816985042,6966.18518230281,7320.09316934953,8241.69853246383,30,30,train,300,sax_11,2,11,1,1
11,98.5242603882793,262.733333333333,217.25,281,305.75,623.71227340818,10780.2723527748,3202.2543282746,4710.50782938276,5346.25938083968,30,30,train,300,sax_12,3,11,2,1
18,176.305250572155,390.9,240.5,430.5,489.75,1397.54248593737,18878.5812231746,3731.14906285282,8932.26729872964,10838.8506003316,30,30,train,300,sax_12,3,11,2,2
14,196.678059421917,502.541666666667,383.25,547.5,628.25,536.186534705973,22415.616765996,7513.79891291129,12810.8341173783,15747.0361052986,24,30,train,300,sax_13,4,11,1,1
14,199.921007388924,291.266666666667,120,282.5,419,117.575507653593,18006.7404879395,1317.06777047686,4757.56486197494,8576.93628787881,30,30,train,300,sax_14,5,11,1,1
9,182.407299538426,359.826086956522,249.5,391,524,148.162073419617,13608.5634803972,3941.04788223316,7731.52449391451,11995.9567132307,23,30,train,300,sax_15,6,11,2,1
13,120.135608859859,268.125,207.25,287,339.25,41.5692193816531,11382.1885417524,2994.6177434963,4862.11047289686,6249.65640841078,32,30,train,300,sax_15,6,11,2,2
16,320.525551503568,460.6875,138.5,570.5,670.25,52.3832034148352,26685.6132963063,1742.71839196096,13627.6077617986,17354.5034945772,16,30,train,300,sax_6,8,11,3,1
17,163.878342410189,439.111111111111,452,490,515,46.8721665810319,12688.1513231834,9609.65181471212,10846.6123743775,11687.2098894475,9,30,train,300,sax_6,8,11,3,2
27,191.667246375935,232.5,96.25,243,379.25,103.189146716115,8668.99348252149,1024.04728667903,4152.15760435406,7397.23477716146,4,30,train,300,sax_6,8,11,3,3
11,482.542643879332,1304.30434782609,1140,1305,1578,3108.63265761653,110592,38511.3678987933,47142.8427759718,62684.5857129319,23,30,train,300,sax_7,9,11,5,1
20,80.8529316210868,378.9,327,347.5,427.5,2394.85678068648,13039.6113439013,5913.43555891372,6477.87480824411,8839.03487026889,30,30,train,300,sax_7,9,11,5,2
25,166.454379954571,308.833333333333,207,348.5,438.25,132.574507353412,10946.376432409,3010.64495950472,6508.50869097241,9181.25525283018,12,30,train,300,sax_7,9,11,5,3
34,754.765419249742,1089.53333333333,306,1334,1691,140.296115413079,91260.0333278484,5408.66991393347,48722.9689571561,69588.2158612326,15,30,train,300,sax_7,9,11,5,4
44,90.5152925301475,339.272727272727,321,346,398,925.945462756851,9010.14633621452,5754.72540069378,6435.97203225744,7940.09385967641,11,30,train,300,sax_7,9,11,5,5
4,113.511271790644,293.058823529412,221,240,423,2849.66682263032,13572.7671828555,3285.40119315739,3718.06401235912,8699.82568790893,17,30,train,300,sax_8,10,11,3,1
20,117.206743362552,153.6,77.75,112,195.25,110.304125036193,8060.0749376169,685.639631571878,1185.61550918453,2731.97766543349,30,30,train,300,sax_8,10,11,3,2
50,153.232503079471,181.2,81,115,215,476.425230230306,9041.37732870385,729,1233.23760889781,3152.51883420226,5,30,train,300,sax_8,10,11,3,3
22,62.8738596097156,327.7,299.5,311.5,340.5,3741.32610179867,9737.49536585256,5183.31347695113,5497.90924395474,6283.26200878979,10,30,train,300,sax_9,11,11,1,1
11,225.874491065914,606.428571428571,641.5,653,711,1169.45756656665,21616.8586061898,16247.8492702182,16686.6736349699,18996.5593961427,7,30,train,402,sax_10,1,11,1,1
33,233.087125115775,363.65,105.5,440,560.75,272.19110933313,16840.2313820209,1089.94635439651,9264.15025094222,13282.2687855802,20,30,train,402,sax_11,2,11,1,1
6,610.337773572521,1434.74193548387,998.5,1636,1888,36.4828726939094,101225.453557887,31632.4593734044,66172.1048176647,82036.7625485918,31,30,train,402,sax_16,7,11,1,1
9,343.468443133531,569,208,771,864,58.0947501931113,29280.9665141026,2999.81866118604,21408.2696872027,25396.309653176,29,30,train,402,sax_18,9,11,2,1
35,459.34958848838,412.4,54.75,102,869.25,96.2340895940726,34902.5275875545,405.573868485123,1055.35366364412,25648.0650569481,10,30,train,402,sax_18,9,11,2,2
19,87.6435112114483,306.833333333333,222.25,338,379.75,2681.24168996381,9072.64432235718,3313.31916404864,6215.35986668524,7400.54765000173,30,30,train,402,sax_9,11,11,2,1
22,96.4083806630366,241.9,165.25,183,345,1800.49770896827,8823.51874254257,2124.2876287689,2475.60583514917,6408.09058924731,30,30,train,402,sax_9,11,11,2,2
7,239.16329486189,614.233333333333,391.25,689.5,770.5,3834.85658141214,28269.7497689668,7738.94437801177,18106.1517467354,21387.7014803939,30,30,train,500,sax_17,3,12,1,1
8,52.6092847518883,298.5,247.25,295,323,3510.89603947482,8030.01874219482,3888.81609246585,5066.87872463606,5805.27071812952,20,30,train,500,sax_19,5,12,1,1
6,230.581795395508,605.366666666667,391,696.5,757,3465.39882264654,27587.1074417018,7747.74129203071,18386.9343325074,20828.8446599918,30,30,train,500,sax_21,7,12,1,1
5,210.175244339892,517.433333333333,305,614.5,654.5,2138.76038863637,22882.4521413244,5326.85311579615,15233.7593459137,16744.213832701,30,30,train,500,sax_22,8,12,1,1
5,185.958742797935,403.966666666667,205.25,491,531.5,1137.99340947125,17071.445369388,2950.29307814627,10883.6412374428,12253.364025351,30,30,train,500,sax_23,9,12,1,1
4,140.319569587408,274.266666666667,139.5,339.5,384,385.845824131867,9898.08976520217,1647.65993184409,6256.61084604511,7524.88994975174,30,30,train,500,sax_24,10,12,1,1
14,78.4906443469539,393.15625,383.5,401.5,439.25,2681.24168996381,10846.6123743775,7510.15470465603,8045.04683990586,9206.20100789687,32,30,train,80,sax_10,1,9,2,1
18,163.752349323092,382.296296296296,207,444,518,1551.16214497389,13465.5670508152,2979.87964707789,9355.66053253323,11789.5456233814,27,30,train,80,sax_10,1,9,2,2
22,105.682015526754,356.416666666667,266.5,389,452.75,2197,10450.6149101381,4351.41453684388,7673.2109255094,9633.60928566014,24,30,train,80,sax_11,2,9,1,1
4,196.971478983033,304.925925925926,102.5,446,472.5,96.2340895940726,12583.3390242813,1038.48355504816,9418.94558854652,10271.1126165317,27,30,train,80,sax_12,3,9,1,1
19,179.550443900208,432.52380952381,275,416,630,2723.02680853494,17420.2309973203,4560.35908673868,8484.76847061839,15812.874501494,21,30,train,80,sax_9,9,9,1,1
